Job Title,,,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Python Manager - IIT/ IIM/ DSE/ ISI,,, Microstrategy| Business Intelligence| Cognos| Business Objects| Tableau| AWS| Python| SQL,Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Networking-Manager
 Marketing Manager - Activation - Iit/nit,,, Marketing| Event Management| Brand Management,Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
 Hiring .Net Developers for Hyderabad Location,,, asp.net| ado.net| MVC,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior BI Cognos Developer,,, SQL| Oracle| Cognos| Business intelligence| Automotive| Supply chain| DBMSTools| metadata,Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","Recruitment, Staffing",Software Developer
 Technical Support Engineer,,, Technical support| SAN| Veritas| Data management| NetBackup| Windows OS| WebEx| Unix operating system| TCP/IP| IT infrastructure,Admin/Maintenance/Security/Datawarehousing,Pune,IT Software - Other,"IT-Software, Software Services",Technical Support Engineer
 Senior Drupal Developer,,, Drupal| Linux| MySQL| Python| Consulting| Procurement| Monitoring| Front end| Backend| Django,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Pre Sales Executive,,, Presales| Real Estate Sales| Residential Sales| Sales Executive Activities,Pre Sales,Pune,"Sales , Retail , Business Development","Real Estate, Property",Pre Sales Consultant
 Head - Sales &amp; Strategy (telematics),,, b2b sales| team management| kam| commercial vehicle| sales strategy| enterprises sales,Senior Management,Gurgaon,"Sales , Retail , Business Development","Internet, Ecommerce",Head/VP/GM/National Manager -Sales
 Content Writer Required for a Monthly Magazine,,, Editing| proof reading| content writer| editor| Articles| Article Writing| Content Editor| Journalism| Mass Communication| Copywriter| Associate Editor| Sub Editor| English Writing| Research| Social Media,Content Development,"Delhi NCR,Ghaziabad,Noida","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Sales Engineers,,, set| eee| interpersonal skills| selling| sales marketing| travel| marketing management| hardware,Retail Sales,Chennai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Senior Laravel Developer,,, MySQL| Wordpress| Javascript| Flex| CMS| PHP| HTML| JSON| Joomla| Ajax,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k",,, MBBS| B.sc| Biotech| Dermatology| Rheumatology| ENT| BDS| Medicine| Pathology| Immunology| Medical Transcription| Radiology| Genetics| BAMS| MDS,Drug Regulatory Affairs/Documentation,"Chandigarh,Mohali,Panchkula","Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
 Hub-Incharge Bangalore,,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Logistics Manager
" QA - Associate , - Business - Operations - DM",,, QA| Data management| GDB| Fixed income| Data quality| HTTP| Operations| Python,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer
 Staff Nurse,,, Nursing| NICU| Medical | patient care| Nurse,Medical Professional,Gurgaon,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Nurse
 Back Office Executive|data Entry Operators|domestic BPO,,, back office processing| BPO| part time| data entry| computer operator| backend| non voice| chat process| account| marketing| inbound process,Other,"Mumbai,Pune","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
 Sr Equity Advisor - 5 nos,,, shares| market research| communication skills,Investment Banking,Ahmedabad,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Equity Manager
 Data Scientist - Sql/nosql,,, SQL| NoSQL| R| Python| Scala| Data Visualization| Machine Learning| Data Science| Data Modeling| Algorithm,Analytics & BI,Mumbai,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst
 Hiring For Day Shift Non Voice Sal. Up To 24K,,, international bpo| IT Helpdesk| freshers| customer care| international voice| call center| customer support| technical helpdesk| service desk| bpo fresher| uk| us| communication skills,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
,,,vide,,,,,
 React.js Developer,,, jQuery| MySQL| Struts| Javascript| Database| JSF,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Requirement in Private bank for BDE,,, Business Development| Sales| Bde| New Business| Business Analyst| Business Development Manager| Business Development Executive| Senior Business Analyst| Sales Manager| Banker| Private Banker| Sales Officer,Accounts,"Delhi NCR,Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Physics- TGT,,, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Technical Sales Executive -mumbai,,, sales engineer| Technical Sales| Sales Executive Activities,,Mumbai,Other,"Construction, Engineering, Cement, Metals",Other
 Urgent Opening - Hp-ux Administrator,,, Unix,Admin/Maintenance/Security/Datawarehousing,Delhi NCR,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Administrator
 Support Executive,,, Interpersonal skills| Direct marketing| IT hardware| Management| Support Executive,Sales Support,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
 J. Stores - Manager,,, Analytical skills| Technical| Educational qualification| Stores| Management| Forecasting| Electricals| Inventory| Cables| Organization skills,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure",Training Manager
 Product Manager,,, product management| product pricing| sales| market research| user experience| marketting| asm| tsm| sales manager,Marketing,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager
,,,vide,,,,,
 Draughtsman,,, AutoCAD| Costing| Draughtsman| Civil| 3D,Architectural Services,Mumbai,"Architecture , Interior Design","Recruitment, Staffing",Draughtsman
 Senior Java Tech Lead - Spring Boot/ Data Structure,,, Java| SOA| TDD| SaaS| J2EE| Spring Boot| API| Algorithm| Data Structure,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,,, Mba Finance| Auditing| Internal Audit| SOX| Audit Compliance| Compliance,Accounts,"Delhi NCR,Gurgaon","Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 ETL Datastage Developer,,, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 Technical Lead,,, CSS| Html5| MySQL| Javascript| Bootstrap| JSON| Node.Js| JQuery| Core PHP| Ajax,Programming & Design,Bengaluru,IT Software - System Programming,"IT-Software, Software Services",Team Lead/Technical Lead
 Specialist - DV,,, Javascript| SQL| Python| design studio| Strategy consulting| Front end| big data analytics| QlikView| MATLAB,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Accounting, Finance",Software Developer
" Office Assistant, Office Boy",,, Tea| Coffee| Office Assistance| admin| office assistant| computer operator,,Mumbai,Other,"Courier, Transportation, Freight , Warehousing",Other
 MES camster/apriso/hydra engineer,,, Oracle database| server| VB.NET| technical| tools| sql| Sql Server 2008| database| design| MS.net| Application development| Test cases| net| deployment| Automation| development| c| oracle| testing| specification| vb| quality| application| PLSQL| pl| support| WIP,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 HR PMO Professional,,, Change management| Excel| Customer satisfaction| Project management| Relationship building| HR policies| HR| Scheduling| Visio| Stakeholder management,Project Management,Pune,IT Software - Other,"IT-Software, Software Services",Project Manager-IT/Software
 Principal Consultant,,, Business solutions| Project delivery| Conceptualization| Green field projects| Gap analysis| PDF| Regulatory compliance| account mining| Delivery Lead| Oracle Retail,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Functional Outside Consultant
 Urgent Requirment For Central Processing Center- Mumbai,,, Accounting Entries| Debit| Communication Skills| Finance| Document Verification| Banking| Problem Solving| Open Office| Dispute Management,,Mumbai,Other,"Banking, Financial Services, Broking",Other
 Cognos TM1 Developer (4 6 years),,, Sql Server 2008| Cognos| MVC| SIDE| server| java| asp.net| Javascript| Problem| developer| ASP.Net MVC| sql,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Smart Web Developer,,, JAVA| Java| Business Analysts| development| Architects| HTML| Lead Developers| SQL| XML| design| PHP| ios development| PL,Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Compensation and Benefits,,,vide,HR/ Recruitment / IR,Mumbai,"HR , Recruitment , Administration , IR","Media, Entertainment, Internet",Pay Roll/Compensation Manager
 Civil Architect,,, Architect| Engineering Design| EPC| Civil,Architectural Services,Mumbai,"Architecture , Interior Design","Strategy, Management Consulting Firms",Architect
 Reconciliation Executive,,, access controls| Technology| Asset Management| Intellectual Property| Vendor Management| CRM,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Oracle Sales Cloud Developer,,, oracle sales,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Opening For Sales and Marketing_nariman Point ,,, Sales| Marketing,Retail Sales,"Mumbai,Mumbai Suburbs","Sales , Retail , Business Development","Banking, Financial Services, Broking",Area Sales Manager
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore,,, microsoft dynamics ax| strategy implementation| proposal development| business development| resource planning| cost management| enterprise applications| data integrity| microsoft applications| process design| technical consultant,System Design/Implementation/ERP/CRM,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Business Development Manager-digital / Export,,, digital marketing| international sales| international marketing| international business development| business development| Export Marketing,Institutional Sales,Noida,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Sr. Software Engineer,,, Unix| PDF| Deployment| Informatica| Oracle| Teradata| Troubleshooting| Data warehousing,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Website Designer,,, jQuery| Analytical| Wordpress| Conceptualization| Web designing| Photoshop| Business Executive| CSS3| Ideas,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
 Tech caller hiring a huge number of Executives.,,, Outbound| Night shift| Recruitment| iPhone| Email| US shift| Troubleshooting| Technical support| Comp| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
